,S1,S2,S3,C1,C2,C3,genes,ave_S,ave_C,logFC,FC,Acc,PValue,FDR,candidate,log10p,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names_x,Gene names_x,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides PS-TMT,Razor + unique peptides PS-TMT,Unique peptides PS-TMT,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,david_input,yourlist,Entry,Entry name,Protein names_y,Gene names_y,Organism,Length,Transmembrane,Transit peptide,Signal peptide
0,19957.36537010802,21385.348092749853,22934.889386669824,9231.138357646316,10166.741887737076,11769.244172213532,19_PPT2,21425.8676165092,10389.041472532299,-1.0442910732936599,-2.06235268895184,19_PPT2,9.842157785098689e-06,8.91278100891049e-05,high,5.006909676830042,G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK3;A0A0G2JLK6,G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK3;A0A0G2JLK6,2;2;2;2;2;2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;2;2;2;2;2;1;1,Lysosomal thioesterase PPT2,PPT2;hCG_1999928,tr|G8JLL2|G8JLL2_HUMAN Lysosomal thioesterase PPT2 (Fragment) OS=Homo sapiens OX=9606 GN=PPT2 PE=1 SV=1;tr|A0A0G2JK02|A0A0G2JK02_HUMAN Lysosomal thioesterase PPT2 (Fragment) OS=Homo sapiens OX=9606 GN=PPT2 PE=1 SV=1;tr|A0A0G2JIU6|A0A0G2JIU6_HUMAN Lysosomal,14,2,2,2,2,2,2,17.8,17.8,17.8,20.398,180,180;180;180;200;236;242;301;301;302;302;308;302;39;132,0.0,19.107,G8JLL2_HUMAN,G8JLL2_HUMAN,G8JLL2,G8JLL2_HUMAN,Lysosomal thioesterase PPT2 (Fragment),PPT2,Homo sapiens (Human),180,,,SIGNAL 1 27 {ECO:0000256|SAM:SignalP}.
1,22348.55741742548,22642.30377832931,21048.673033674473,8804.727932245223,9256.446304999097,8874.397651225037,59_FGF2,22013.1780764764,8978.52396282312,-1.29381724869917,-2.45175912740504,59_FGF2,8.50166803574225e-08,3.03680371303533e-06,high,7.070495856915356,A0A0A0MQV6;A0A087WUF6;P09038,A0A0A0MQV6;A0A087WUF6;P09038,5;5;5,5;5;5,5;5;5,Fibroblast growth factor;Fibroblast growth factor 2,FGF2,tr|A0A0A0MQV6|A0A0A0MQV6_HUMAN Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=1;tr|A0A087WUF6|A0A087WUF6_HUMAN Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=2;sp|P09038|FGF2_HUMAN Fibroblast growth factor 2 OS=Homo sapi,3,5,5,5,5,5,5,13.2,13.2,13.2,30.752,288,288;288;288,0.0,10.083,FGF2_HUMAN,FGF2_HUMAN,P09038,FGF2_HUMAN,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),FGF2 FGFB,Homo sapiens (Human),288,,,
2,41512.93983997883,44192.01569088661,38495.00127876144,19198.468893830097,13236.551440123303,20962.681703709783,76_MYCBP,41399.985603208996,17799.2340125544,-1.21781510967294,-2.32594198008792,76_MYCBP,6.47771374835283e-05,0.00038210468108717404,high,4.18857824747397,A0A087WV05;Q99417;A0A0D9SEI7,A0A087WV05;Q99417;A0A0D9SEI7,2;2;1,2;2;1,2;2;1,C-Myc-binding protein,MYCBP,tr|A0A087WV05|A0A087WV05_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=GJA9-MYCBP PE=4 SV=1;sp|Q99417|MYCBP_HUMAN c-Myc-binding protein OS=Homo sapiens OX=9606 GN=MYCBP PE=1 SV=3;tr|A0A0D9SEI7|A0A0D9SEI7_HUMAN c-Myc-binding protein OS=Homo sapie,3,2,2,2,2,2,2,18.2,18.2,18.2,12.755,110,110;103;56,0.0,4.9753,MYCBP_HUMAN,MYCBP_HUMAN,Q99417,MYCBP_HUMAN,c-Myc-binding protein (Associate of Myc 1) (AMY-1),MYCBP AMY1,Homo sapiens (Human),103,,,
3,13120.94824861238,11930.153094347146,11274.013675543287,1149.023994983548,2144.2497232551677,1909.1503019419722,96_C11orf96,12108.371672834299,1734.14134006023,-2.80371147085649,-6.98234416833274,96_C11orf96,1.8375756688878202e-06,2.4826010625587398e-05,high,5.735754768214486,A0A087WW59;Q7Z7L8,A0A087WW59;Q7Z7L8,3;3,3;3,3;3,Uncharacterized protein C11orf96,C11orf96,tr|A0A087WW59|A0A087WW59_HUMAN Uncharacterized protein C11orf96 OS=Homo sapiens OX=9606 GN=C11orf96 PE=1 SV=1;sp|Q7Z7L8|CK096_HUMAN Uncharacterized protein C11orf96 OS=Homo sapiens OX=9606 GN=C11orf96 PE=1 SV=3,2,3,3,3,3,3,3,21.3,21.3,21.3,13.773,122,122;435,0.0,5.0023,CK096_HUMAN,CK096_HUMAN,Q7Z7L8,CK096_HUMAN,Uncharacterized protein C11orf96 (Protein Ag2 homolog),C11orf96 AG2,Homo sapiens (Human),435,,,
4,32536.78725904827,39589.828736278214,40893.82742420639,7684.019021051577,9507.175685566923,9507.094837100312,116_SLC16A6,37673.481139844305,8899.42984790627,-2.08176453243227,-4.23324659935463,116_SLC16A6,1.67439864067265e-07,4.92432666894966e-06,high,6.776141137242594,A0A087WX92;O15403,A0A087WX92;O15403,3;3,3;3,3;3,Monocarboxylate transporter 7,SLC16A6,tr|A0A087WX92|A0A087WX92_HUMAN Monocarboxylate transporter 7 OS=Homo sapiens OX=9606 GN=SLC16A6 PE=1 SV=1;sp|O15403|MOT7_HUMAN Monocarboxylate transporter 7 OS=Homo sapiens OX=9606 GN=SLC16A6 PE=1 SV=2,2,3,3,3,3,3,3,3.8,3.8,3.8,57.494,522,522;523,0.0,10.335999999999999,MOT7_HUMAN,MOT7_HUMAN,O15403,MOT7_HUMAN,Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6),SLC16A6 MCT6 MCT7,Homo sapiens (Human),523,TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 92 112 Helical. {ECO:0000255}.; TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 150 170 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 300 320 Helical. {ECO:0000255}.; TRANSMEM 331 351 Helical. {ECO:0000255}.; TRANSMEM 359 379 Helical. {ECO:0000255}.; TRANSMEM 382 402 Helical. {ECO:0000255}.; TRANSMEM 424 444 Helical. {ECO:0000255}.; TRANSMEM 453 473 Helical. {ECO:0000255}.,,
5,5805.068397187902,6401.258221587428,5689.499488142627,2332.889226898166,2435.30686589854,2617.5949931331725,191_ICOSLG,5965.2753689726505,2461.93036197663,-1.27679878272056,-2.42300735272759,191_ICOSLG,3.52711469366123e-06,4.04897032491669e-05,high,5.452580417844757,A0A087X1L8;K4DIA0;O75144,A0A087X1L8;K4DIA0;O75144,1;1;1,1;1;1,1;1;1,ICOS ligand,ICOSLG,tr|A0A087X1L8|A0A087X1L8_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC102723996 PE=4 SV=1;tr|K4DIA0|K4DIA0_HUMAN ICOS ligand OS=Homo sapiens OX=9606 GN=ICOSLG PE=1 SV=1;sp|O75144|ICOSL_HUMAN ICOS ligand OS=Homo sapiens OX=9606 GN=ICOSLG PE=1,3,1,1,1,1,1,1,5.2,5.2,5.2,20.996,192,192;473;302,0.0041087,2.0663,ICOSL_HUMAN,ICOSL_HUMAN,O75144,ICOSL_HUMAN,ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275),ICOSLG B7H2 B7RP1 ICOSL KIAA0653,Homo sapiens (Human),302,TRANSMEM 257 277 Helical. {ECO:0000255}.,,SIGNAL 1 18 {ECO:0000255}.
6,3083.309824227108,7407.107794015979,6748.853958534481,2943.1898061318234,2288.7889452735985,2655.958070760877,226_HSD11B1,5746.42385892586,2629.31227405543,-1.12797891477571,-2.18552353618409,226_HSD11B1,0.0114103782546777,0.0244066015017117,med,1.942699958456772,A0A0A0MQV1;P28845;A0A087WU76,A0A0A0MQV1;P28845;A0A087WU76,3;3;2,3;3;2,3;3;2,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,tr|A0A0A0MQV1|A0A0A0MQV1_HUMAN Corticosteroid 11-beta-dehydrogenase isozyme 1 (Fragment) OS=Homo sapiens OX=9606 GN=HSD11B1 PE=1 SV=6;sp|P28845|DHI1_HUMAN Corticosteroid 11-beta-dehydrogenase isozyme 1 OS=Homo sapiens OX=9606 GN=HSD11B1 PE=1 SV=3;tr|A0A087,3,3,3,3,3,3,3,10.1,10.1,10.1,30.666999999999998,278,278;292;182,0.0,6.5181,DHI1_HUMAN,DHI1_HUMAN,P28845,DHI1_HUMAN,Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1),HSD11B1 HSD11 HSD11L SDR26C1,Homo sapiens (Human),292,TRANSMEM 8 24 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,,
7,24860.29794133082,21971.547380733624,21495.59369940285,8168.21747991236,9260.497925955286,8648.035920222794,293_NFYC,22775.8130071558,8692.25044203015,-1.38970090618727,-2.6202435329091,293_NFYC,3.0960770631936696e-07,7.458893144288651e-06,high,6.509188238007477,E9PL11;Q5T6K7;E9PI99;A0A0A0MT00;Q5T6K5;Q13952,E9PL11;Q5T6K7;E9PI99;A0A0A0MT00;Q5T6K5;Q13952,2;2;2;2;2;2,2;2;2;2;2;2,2;2;2;2;2;2,Nuclear transcription factor Y subunit gamma,NFYC,tr|E9PL11|E9PL11_HUMAN Nuclear transcription factor Y subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=NFYC PE=1 SV=1;tr|Q5T6K7|Q5T6K7_HUMAN Nuclear transcription factor Y subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=NFYC PE=1 SV=1;tr|E9PI99|E9PI,6,2,2,2,2,2,2,22.1,22.1,22.1,10.765,95,95;129;141;179;313;458,0.00018146,3.5980000000000003,E9PL11_HUMAN,E9PL11_HUMAN,E9PL11,E9PL11_HUMAN,Nuclear transcription factor Y subunit gamma (Fragment),NFYC,Homo sapiens (Human),95,,,
8,10610.149509680381,10983.87353060025,10514.248543805048,4058.635690598722,4261.45723222136,4344.324946355654,315_GABRA2,10702.7571946952,4221.472623058579,-1.34216424177712,-2.53531365719027,315_GABRA2,3.08335676896609e-07,7.458893144288651e-06,high,6.510976221031234,G5E9Z6;A0A0A0MTM5;E9PBQ7;P47869;D6RBL7;G3V2Q9;D6RB77;D6RBK9;G3V2K2;G3V2G8;E5RK60;A0A0U1RRB2;A0A1B0GV38;P14867;P31644;P34903,G5E9Z6;A0A0A0MTM5;E9PBQ7;P47869;D6RBL7;G3V2Q9;D6RB77;D6RBK9;G3V2K2;G3V2G8;E5RK60;A0A0U1RRB2;A0A1B0GV38;P14867;P31644;P34903,2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,Gamma-aminobutyric acid receptor subunit alpha-2;Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit alpha-5;Gamma-aminobutyric acid receptor subunit alpha-3,GABRA2;GABRA5;GABRA1;GABRA3,"tr|G5E9Z6|G5E9Z6_HUMAN Gamma-aminobutyric acid (GABA) A receptor, alpha 2, isoform CRA_b OS=Homo sapiens OX=9606 GN=GABRA2 PE=1 SV=1;tr|A0A0A0MTM5|A0A0A0MTM5_HUMAN Gamma-aminobutyric acid receptor subunit alpha-2 OS=Homo sapiens OX=9606 GN=GABRA2 PE=1 SV=1",16,2,2,2,2,2,2,6.8,6.8,6.8,42.125,367,367;427;511;451;137;148;151;159;165;166;168;285;471;456;462;492,0.0,5.8655,G5E9Z6_HUMAN,G5E9Z6_HUMAN,G5E9Z6,G5E9Z6_HUMAN,"Gamma-aminobutyric acid (GABA) A receptor, alpha 2, isoform CRA_b (Gamma-aminobutyric acid A receptor alpha 2 isoform 1) (Gamma-aminobutyric acid receptor subunit alpha-2)",GABRA2 hCG_15318,Homo sapiens (Human),367,TRANSMEM 250 274 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 281 300 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 315 337 Helical. {ECO:0000256|SAM:Phobius}.,,SIGNAL 1 28 {ECO:0000256|SAM:SignalP}.
9,30774.707573923824,25641.70596984432,27947.20435952376,12871.258162934066,12774.855098604196,11486.414339703162,397_PITPNC1,28121.205967764,12377.509200413799,-1.1839374435127,-2.27196001331381,397_PITPNC1,1.12739460262081e-06,1.80851664046392e-05,high,5.94792404868703,E7EU35;A0A0C4DGP0;Q9UKF7;J3QRS7;J3QS95,E7EU35;A0A0C4DGP0;Q9UKF7;J3QRS7,4;4;4;2;1,4;4;4;2;1,4;4;4;2;1,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1,tr|E7EU35|E7EU35_HUMAN Cytoplasmic phosphatidylinositol transfer protein 1 OS=Homo sapiens OX=9606 GN=PITPNC1 PE=1 SV=3;tr|A0A0C4DGP0|A0A0C4DGP0_HUMAN Cytoplasmic phosphatidylinositol transfer protein 1 OS=Homo sapiens OX=9606 GN=PITPNC1 PE=1 SV=1;sp|Q9UKF,5,4,4,4,4,4,4,11.3,11.3,11.3,31.504,266,266;268;332;98;88,0.0,4.5093,E7EU35_HUMAN,E7EU35_HUMAN,E7EU35,E7EU35_HUMAN,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1,Homo sapiens (Human),266,,,
