Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	35	31.53153153153153	1.4621054393956878E-13	P09341, P01033, P37840, P98066, Q99988, P05231, P09038, Q9BY76, P43490, P15514, Q03169, P14210, P05120, P13726, P42830, P25774, P05362, O75326, P07858, P78556, Q15582, P24821, P08254, P26022, P01583, P52823, O95150, P15121, P07093, P00749, P01037, P10145, P13611, P01584, P01034	109	1347	18224	4.344278484978512	2.3540835947244432E-11	2.3540835947244432E-11	1.7674750552032492E-10
UP_KEYWORDS	Secreted	35	31.53153153153153	3.1992157983585756E-10	P09341, P01033, P20908, P37840, Q16769, Q99988, P05231, P09038, Q9BY76, P43490, P05120, P13726, Q9H5V8, P42830, P08476, Q9NPH3, P07858, P78556, Q15582, P24821, P48307, P08254, P26022, P52823, P01583, O95150, P24593, P07093, P00749, P01037, P10145, P13611, P03956, P01584, P01034	111	1965	20581	3.3025468216307914	6.942297037237921E-8	6.942297037237921E-8	4.0634077214107833E-7
UP_KEYWORDS	Signal	51	45.94594594594595	1.9769862283780214E-9	G8JLL2, P01033, P20908, Q16769, Q99988, Q8NCL9, O75144, P15514, Q24JP5, P15153, P05120, Q5T9L3, Q9H5V8, P42830, P25774, O75460, P08476, Q9NPH3, P05362, P35354, O75326, O94808, G5E9Z6, P24821, P56199, Q86YB8, P52823, O95150, P24593, P00749, P01037, P13611, P01034, P09341, P98066, P05231, Q9BY76, P14210, P13726, P27701, P07858, P78556, Q13478, Q15582, P48307, P26022, P08254, Q96SQ9, P07093, P10145, P03956	111	4160	20581	2.2731094074844074	4.2900592278627414E-7	2.1450298437475368E-7	2.5110223011992616E-6
UP_SEQ_FEATURE	signal peptide	45	40.54054054054054	2.4413910454400328E-9	P09341, P01033, G8JLL2, P20908, P98066, Q16769, Q99988, Q8NCL9, P05231, Q9BY76, Q24JP5, P15514, P14210, P05120, Q5T9L3, P13726, Q9H5V8, P42830, P25774, O75460, P08476, Q9NPH3, P05362, O75326, P35354, P07858, P78556, Q13478, Q15582, G5E9Z6, P24821, P48307, P56199, P08254, P26022, Q86YB8, P52823, P24593, P07093, P00749, P01037, P10145, P13611, P03956, P01034	109	3346	20063	2.4754602236272807	1.0253837330331805E-6	1.0253837330331805E-6	3.429437644975053E-6
UP_KEYWORDS	Disulfide bond	44	39.63963963963964	1.64435532643095E-8	P09341, P01033, G8JLL2, P20908, P98066, Q16769, Q99988, P05231, Q9Y4C5, Q9BY76, O75144, P15514, P14210, P05120, P13726, Q9H5V8, P42830, P25774, O75460, P08476, Q9NPH3, P05362, O75326, P35354, P07858, P78556, Q13478, Q15582, G5E9Z6, P24821, P48307, P56199, P08254, P26022, Q86YB8, P52823, O95150, P24593, P00749, P01037, P10145, P13611, P03956, P01034	111	3434	20581	2.3757234228987287	3.5682447285800833E-6	1.1894163242098799E-6	2.0885388385405435E-5
GOTERM_CC_DIRECT	GO:0005576~extracellular region	30	27.027027027027028	3.637620151330891E-8	P09341, P01033, P20908, P37840, Q99988, P05231, P09038, Q9BY76, P14210, P05120, Q9H5V8, P42830, P25774, P08476, Q9NPH3, P07858, P78556, Q15582, P24821, P08254, P26022, P01583, P24593, P07093, P00749, P10145, P13611, P03956, P01584, P01034	109	1610	18224	3.1153911903812186	5.856551397620535E-6	2.928279986269544E-6	4.3970560115180746E-5
UP_SEQ_FEATURE	disulfide bond	39	35.13513513513514	6.883951866661862E-8	P09341, G8JLL2, P01033, P98066, Q99988, P05231, Q9BY76, P15514, P14210, P05120, P13726, Q9H5V8, P42830, P25774, P08476, Q9NPH3, P05362, O75326, P35354, P07858, P78556, Q13478, Q15582, G5E9Z6, P24821, P48307, P56199, P08254, P26022, Q86YB8, P52823, O95150, P24593, P00749, P01037, P10145, P13611, P03956, P01034	109	2917	20063	2.4609203247020788	2.8912180859208547E-5	1.445619492035366E-5	9.669926920308214E-5
UP_KEYWORDS	Cytokine	11	9.90990990990991	7.480649180902595E-8	P09341, P43490, P15514, P01583, O95150, Q99988, P78556, P42830, P05231, P10145, P01584	111	190	20581	10.734518729255571	1.6232877568578274E-5	4.058244096105668E-6	9.501365506592307E-5
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	15	13.513513513513514	7.81009945181213E-8	Q9Y4C5, P09341, Q9NPH3, P26022, P98066, O75326, P35354, P01583, P17676, P78556, Q8N4X5, P42830, P05231, P10145, P01584	104	379	16792	6.390298355997564	7.965984454871844E-5	7.965984454871844E-5	1.2370867661370966E-4
KEGG_PATHWAY	hsa04668:TNF signaling pathway	10	9.00900900900901	5.879447544059536E-7	P17275, P09341, P08254, P05362, P35354, P17676, P78556, Q13478, P05231, P01584	66	107	6879	9.740866610025488	9.465465325719791E-5	9.465465325719791E-5	7.106894084007997E-4
