Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Intramembrane	Subcellular location [CC]	Topological domain	Transit peptide	Propeptide	Glycosylation	Disulfide bond	Cross-link	Region	yourlist:M201905286746803381A1F0E0DB47453E0216320D186141C
P52823	STC1_HUMAN	reviewed	Stanniocalcin-1 (STC-1)	STC1 STC	Homo sapiens (Human)	247		SIGNAL 1 17 {ECO:0000269|PubMed:15340161}.		SUBCELLULAR LOCATION: Secreted.			PROPEP 18 33 {ECO:0000255}. /FTId=PRO_0000033297.	CARBOHYD 62 62 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 45 59 {ECO:0000250}.; DISULFID 54 74 {ECO:0000250}.; DISULFID 65 114 {ECO:0000250}.; DISULFID 98 128 {ECO:0000250}.; DISULFID 135 170 {ECO:0000250}.; DISULFID 202 202 Interchain. {ECO:0000250}.			P52823
P03956	MMP1_HUMAN	reviewed	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	MMP1 CLG	Homo sapiens (Human)	469		SIGNAL 1 19		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2167156}.			PROPEP 20 99 Activation peptide. {ECO:0000269|PubMed:2557822}. /FTId=PRO_0000028703.	CARBOHYD 120 120 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:10092871}. /FTId=CAR_000105.	DISULFID 278 466 {ECO:0000250}.		REGION 98 276 Metalloprotease.	P03956
P43490	NAMPT_HUMAN	reviewed	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	NAMPT PBEF PBEF1	Homo sapiens (Human)	491				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24130902}. Cytoplasm {ECO:0000250|UniProtKB:Q99KQ4}. Secreted {ECO:0000269|PubMed:21741723}. Note=Under non-inflammatory conditions, visfatin predominantly exhibits a granular pattern within the nucleus. Secreted by endothelial cells upon IL-1beta stimulation. Abundantly secreted in milk, reaching 100-fold higher concentrations compared to maternal serum. {ECO:0000269|PubMed:21741723, ECO:0000269|PubMed:24130902}.							REGION 311 313 Nicotinamide ribonucleotide binding.; REGION 353 354 Nicotinamide ribonucleotide binding.	P43490
P00749	UROK_HUMAN	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Homo sapiens (Human)	431		SIGNAL 1 20 {ECO:0000269|PubMed:2023947, ECO:0000269|PubMed:6754569}.		SUBCELLULAR LOCATION: Secreted.				CARBOHYD 38 38 O-linked (Fuc) threonine. {ECO:0000269|PubMed:2023947}.; CARBOHYD 322 322 N-linked (GlcNAc...) asparagine. /FTId=CAR_000026.	DISULFID 31 39; DISULFID 33 51; DISULFID 53 62; DISULFID 70 151; DISULFID 91 133; DISULFID 122 146; DISULFID 168 299 Interchain (between A and B chains).; DISULFID 209 225; DISULFID 217 288; DISULFID 313 382; DISULFID 345 361; DISULFID 372 400		REGION 34 57 Binds urokinase plasminogen activator surface receptor. {ECO:0000250}.; REGION 152 177 Connecting peptide.	P00749
P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201		SIGNAL 1 22 {ECO:0000269|PubMed:1707164}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.				CARBOHYD 38 38 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 166 166 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 184 184 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401}.; CARBOHYD 327 327 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 788 788 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1018 1018 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1034 1034 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1079 1079 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401}.; CARBOHYD 1093 1093 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401}.; CARBOHYD 1119 1119 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1184 1184 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1210 1210 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1261 1261 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401}.; CARBOHYD 1275 1275 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1301 1301 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401, ECO:0000269|PubMed:19159218}.; CARBOHYD 1366 1366 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1392 1392 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1445 1445 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1455 1455 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1485 1485 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401, ECO:0000269|PubMed:19159218}.; CARBOHYD 1534 1534 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1809 1809 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 2162 2162 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:18780401}.	DISULFID 190 200 {ECO:0000250}.; DISULFID 194 205 {ECO:0000250}.; DISULFID 207 216 {ECO:0000250}.; DISULFID 221 231 {ECO:0000250}.; DISULFID 225 236 {ECO:0000250}.; DISULFID 238 247 {ECO:0000250}.; DISULFID 252 263 {ECO:0000250}.; DISULFID 256 268 {ECO:0000250}.; DISULFID 270 279 {ECO:0000250}.; DISULFID 284 294 {ECO:0000250}.; DISULFID 288 299 {ECO:0000250}.; DISULFID 301 310 {ECO:0000250}.; DISULFID 315 325 {ECO:0000250}.; DISULFID 319 330 {ECO:0000250}.; DISULFID 332 341 {ECO:0000250}.; DISULFID 346 356 {ECO:0000250}.; DISULFID 350 361 {ECO:0000250}.; DISULFID 363 372 {ECO:0000250}.; DISULFID 377 387 {ECO:0000250}.; DISULFID 381 392 {ECO:0000250}.; DISULFID 394 403 {ECO:0000250}.; DISULFID 408 418 {ECO:0000250}.; DISULFID 412 423 {ECO:0000250}.; DISULFID 425 434 {ECO:0000250}.; DISULFID 439 449 {ECO:0000250}.; DISULFID 443 454 {ECO:0000250}.; DISULFID 456 465 {ECO:0000250}.; DISULFID 470 480 {ECO:0000250}.; DISULFID 474 485 {ECO:0000250}.; DISULFID 487 496 {ECO:0000250}.; DISULFID 501 511 {ECO:0000250}.; DISULFID 505 516 {ECO:0000250}.; DISULFID 518 527 {ECO:0000250}.; DISULFID 532 542 {ECO:0000250}.; DISULFID 536 547 {ECO:0000250}.; DISULFID 549 558 {ECO:0000250}.; DISULFID 563 573 {ECO:0000250}.; DISULFID 567 578 {ECO:0000250}.; DISULFID 580 589 {ECO:0000250}.; DISULFID 594 604 {ECO:0000250}.; DISULFID 598 609 {ECO:0000250}.; DISULFID 611 620 {ECO:0000250}.			P24821
P01584	IL1B_HUMAN	reviewed	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	Homo sapiens (Human)	269				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:15192144}. Lysosome {ECO:0000269|PubMed:15192144}. Secreted, exosome {ECO:0000250|UniProtKB:P10749}. Secreted {ECO:0000269|PubMed:11728343, ECO:0000269|PubMed:15192144}. Note=The precursor is cytosolic. In response to inflammasome-activating signals, such as ATP for NLRP3 inflammasome or bacterial flagellin for NLRC4 inflammasome, cleaved and secreted. IL1B lacks any known signal sequence and the pathway(s) of its secretion is(are) not yet fully understood (PubMed:24201029). On the basis of experimental results, several unconventional secretion mechanisms have been proposed. 1. Secretion via secretory lysosomes: a fraction of CASP1 and IL1B precursor may be incorporated, by a yet undefined mechanism, into secretory lysosomes that undergo Ca(2+)-dependent exocytosis with release of mature IL1B (PubMed:15192144). 2. Secretory autophagy: IL1B-containing autophagosomes may fuse with endosomes or multivesicular bodies (MVBs) and then merge with the plasma membrane releasing soluble IL1B or IL1B-containing exosomes (PubMed:24201029). However, autophagy impacts IL1B production at several levels and its role in secretion is still controversial. 3. Secretion via exosomes: ATP-activation of P2RX7 leads to the formation of MVBs containing exosomes with entrapped IL1B, CASP1 and other inflammasome components. These MVBs undergo exocytosis with the release of exosomes. The release of soluble IL1B occurs after the lysis of exosome membranes (By similarity). 4. Secretion by microvesicle shedding: activation of the ATP receptor P2RX7 may induce an immediate shedding of membrane-derived microvesicles containing IL1B and possibly inflammasome components. The cytokine is then released in the extracellular compartment after microvesicle lysis (PubMed:11728343). 5. Release by translocation through permeabilized plasma membrane. This may occur in cells undergoing pyroptosis due to sustained activation of the inflammasome (By similarity). These mechanisms may not be not mutually exclusive. {ECO:0000250|UniProtKB:P10749, ECO:0000269|PubMed:11728343, ECO:0000269|PubMed:15192144, ECO:0000305|PubMed:24201029}.			PROPEP 1 116 Removed in mature form; by CASP1. {ECO:0000269|PubMed:3281727, ECO:0000269|PubMed:3920526}. /FTId=PRO_0000015301.					P01584
Q13336	UT1_HUMAN	reviewed	Urea transporter 1 (Solute carrier family 14 member 1) (Urea transporter, erythrocyte)	SLC14A1 HUT11 JK RACH1 UT1 UTE	Homo sapiens (Human)	389	TRANSMEM 91 110 Helical. {ECO:0000250}.; TRANSMEM 115 137 Helical. {ECO:0000250}.; TRANSMEM 144 168 Helical. {ECO:0000250}.; TRANSMEM 173 193 Helical. {ECO:0000250}.; TRANSMEM 255 274 Helical. {ECO:0000250}.; TRANSMEM 284 304 Helical. {ECO:0000250}.; TRANSMEM 309 330 Helical. {ECO:0000250}.; TRANSMEM 333 353 Helical. {ECO:0000250}.		INTRAMEM 52 69 Helical. {ECO:0000250}.; INTRAMEM 73 88 Helical. {ECO:0000250}.; INTRAMEM 220 234 Helical. {ECO:0000250}.; INTRAMEM 239 250 Helical. {ECO:0000250}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23219802}; Multi-pass membrane protein {ECO:0000269|PubMed:23219802}. Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Restricted to the basolateral membrane in various portions of the urothelium. {ECO:0000250}.				CARBOHYD 211 211 N-linked (GlcNAc...) asparagine. {ECO:0000255}.				Q13336
A6NFF2	NP1L6_HUMAN	reviewed	Putative nucleosome assembly protein 1-like 6	NAP1L6	Homo sapiens (Human)	107												A6NFF2
Q5T9L3	WLS_HUMAN	reviewed	Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373)	WLS C1orf139 GPR177 UNQ85/PRO18667	Homo sapiens (Human)	541	TRANSMEM 233 253 Helical; Name=1. {ECO:0000255}.; TRANSMEM 269 289 Helical; Name=2. {ECO:0000255}.; TRANSMEM 304 324 Helical; Name=3. {ECO:0000255}.; TRANSMEM 332 352 Helical; Name=4. {ECO:0000255}.; TRANSMEM 381 401 Helical; Name=5. {ECO:0000255}.; TRANSMEM 432 452 Helical; Name=6. {ECO:0000255}.; TRANSMEM 472 492 Helical; Name=7. {ECO:0000255}.	SIGNAL 1 42 {ECO:0000255}.		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cell membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Note=Co-localizes with the adaptin AP2A2 at distinct punctae. {ECO:0000269|PubMed:18160347}.	TOPO_DOM 43 232 Lumenal. {ECO:0000255}.; TOPO_DOM 254 268 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 290 303 Lumenal. {ECO:0000255}.; TOPO_DOM 325 331 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 353 380 Lumenal. {ECO:0000255}.; TOPO_DOM 402 431 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 453 471 Lumenal. {ECO:0000255}.; TOPO_DOM 493 541 Cytoplasmic. {ECO:0000255}.						REGION 101 232 Interaction with Wnt proteins. {ECO:0000250}.	Q5T9L3
P52789	HXK2_HUMAN	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917				SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}. Note=Its hydrophobic N-terminal sequence may be involved in membrane binding. {ECO:0000250}.							REGION 1 12 Hydrophobic.; REGION 13 475 Regulatory.; REGION 73 207 Hexokinase small subdomain 1. {ECO:0000255|PROSITE-ProRule:PRU01084}.; REGION 84 88 Glucose-6-phosphate 1 binding.; REGION 155 156 Substrate 1 binding.; REGION 172 173 Substrate 1 binding.; REGION 208 447 Hexokinase large subdomain 1. {ECO:0000255|PROSITE-ProRule:PRU01084}.; REGION 208 209 Substrate 1 binding.; REGION 291 294 Substrate 1 binding.; REGION 413 415 Glucose-6-phosphate 1 binding.; REGION 476 917 Catalytic.; REGION 521 655 Hexokinase small subdomain 2. {ECO:0000255|PROSITE-ProRule:PRU01084}.; REGION 532 536 Glucose-6-phosphate 2 binding.; REGION 603 604 Substrate 2 binding.; REGION 620 621 Substrate 2 binding.; REGION 656 895 Hexokinase large subdomain 2. {ECO:0000255|PROSITE-ProRule:PRU01084}.; REGION 656 657 Substrate 2 binding.; REGION 682 683 Substrate 2 binding.; REGION 739 742 Substrate 2 binding.; REGION 861 863 Glucose-6-phosphate 2 binding.	P52789
